Actant,PrepCase,Meaning,Verb,VerbMeaning,Example
ГДЕ,в_Loc,место,задерживать,2.1,котел
ГДЕ,на_Loc,место,задерживать,2.1,улица
ГДЕ,в_Loc,место,задерживать,2.2,почва
ГДЕ,на_Loc,место,задерживать,2.2,побережье
ГДЕ,в_Loc,место,задерживать,5,столица
ГДЕ,на_Loc,место,задерживать,5,вокзал
ГДЕ,за_Ins,место,задерживать,5,граница
ГДЕ,около_Gen,место,задерживать,5,объект
КУДА,в_Acc,сосуд-место,выливать,1,раковина
КУДА,на_Acc,место,выливать,1,пол
КУДА,под_Acc,место,выливать,1,нога
ОТКУДА,из_Gen,замкнутое пространство,выползать,1.1,нора
ОТКУДА,из-за_Gen,замкнутое пространство,выползать,1.1,дерево
ОТКУДА,из-под_Gen,замкнутое пространство,выползать,1.1,камень
КУДА,на_Acc,открытое пространство,выползать,1.1,место
КУДА,в_Acc,открытое пространство,выползать,1.1,двор
КУДА,к_Dat,открытое пространство,выползать,1.1,кормушка
ОТКУДА,из_Gen,замкнутое пространство,выползать,1.2,комната
ОТКУДА,из-за_Gen,замкнутое пространство,выползать,1.2,перегородка
ОТКУДА,из-под_Gen,замкнутое пространство,выползать,1.2,стол
КУДА,в_Acc,открытое пространство,выползать,1.2,коридор
КУДА,к_Dat,открытое пространство,выползать,1.2,лес
КУДА,на_Acc,открытое пространство,выползать,1.2,терраса
КУДА,под_Acc,открытое пространство,выползать,1.2,навес
КУДА,за_Acc,открытое пространство,выползать,1.2,забор
ОТКУДА,из_Gen,замкнутое пространство,выползать,2.1,гараж
ОТКУДА,из-за_Gen,замкнутое пространство,выползать,2.1,поворот
ОТКУДА,из-под_Gen,замкнутое пространство,выползать,2.1,ветвь
ОТКУДА,с_Gen,замкнутое пространство,выползать,2.1,дорога
КУДА,на_Acc,открытое пространство,выползать,2.1,шоссе
КУДА,в_Acc,открытое пространство,выползать,2.1,поле
КУДА,за_Acc,открытое пространство,выползать,2.1,ворота
ОТКУДА,из_Gen,объект,выползать,2.2,труба
ОТКУДА,из-за_Gen,объект,выползать,2.2,гора
ОТКУДА,из-под_Gen,объект,выползать,2.2,крыша
КУДА,на_Acc,открытое пространство,выползать,2.2,улица
КУДА,в_Acc,открытое пространство,выползать,2.2,коридор
ГДЕ,в_Loc,место,гостить,1,деревня
ГДЕ,на_Loc,место,гостить,1,Украина
ГДЕ,под_Ins,место,гостить,1,Москвой
КАКОЕ_ВРЕМЯ,в течение_Gen,время,гостить,1,неделя
КАКОЕ_ВРЕМЯ,NO_Acc,время,гостить,1,месяц
КАКОЕ_ВРЕМЯ,с_Gen,время,гостить,1,январь
КАКОЕ_ВРЕМЯ,по_Acc,время,гостить,1,март
ГДЕ,в_Loc,место,ждать,1.1,двор
ГДЕ,у_Gen,место,ждать,1.1,калитка
СКОЛЬКО,в течение_Gen,время,ждать,1.1,неделя
СКОЛЬКО,с_Gen,время,ждать,1.1,январь
СКОЛЬКО,по_Acc,время,ждать,1.1,март
СКОЛЬКО,NO_Acc,время,ждать,1.1,месяц
ГДЕ,у_Gen,место,ждать,4.1,подъезд
ГДЕ,за_Ins,место,ждать,4.1,ограда
ГДЕ,на_Loc,место,ждать,4.1,улица
ГДЕ,в_Loc,человек-социум,жить,1.2,народ
ГДЕ,среди_Gen,человек-социум,жить,1.2,житель
ГДЕ,у_Gen,человек-социум,жить,1.2,человек
КОГДА,в_Loc,время,жить,2.1,век
КОГДА,до_Gen,время,жить,2.1,Рождество Христово
КОГДА,при_Loc,время,жить,2.1,коммунизм
КОГДА,после_Gen,время,жить,2.1,потоп
ГДЕ,в_Loc,место,жить,2.2,дом
ГДЕ,на_Loc,место,жить,2.2,остров
ГДЕ,за_Ins,место,жить,2.2,черта
ГДЕ,под_Ins,место,жить,2.2,Москва
КАК,по_Dat,состояние-условия-цель,жить,2.3,старинка
КАК,для_Gen,состояние-условия-цель,жить,2.3,семья
КАК,в_Loc,отношение,жить,3.1,согласие
ГДЕ,около_Gen,место,замечать,1.1,дом
ГДЕ,в_Loc,место,замечать,1.1,темнота
ГДЕ,на_Loc,место,замечать,1.1,горизонт
ГДЕ,у_Gen,место,замечать,1.1,киоск
ГДЕ,под_Ins,место,замечать,1.1,потолок
КУДА,в_Acc,направление,бросаться,2.1,комната
КУДА,на_Acc,направление,бросаться,2.1,дверь
КУДА,под_Acc,направление,бросаться,2.1,ноги
КУДА,за_Ins,направление,бросаться,2.1,собака
КУДА,в_Acc,место,бросаться,2.2,пруд
КУДА,на_Acc,место,бросаться,2.2,пол
КУДА,под_Acc,место,бросаться,2.2,крыша
ОТКУДА,с_Gen,место,бросаться,2.2,берег
ОТКУДА,из_Gen,место,бросаться,2.2,окно
ОТКУДА,из-под_Gen,место,бросаться,2.2,стол
ОТКУДА,из_Gen,место,добираться,1,город
ОТКУДА,из-за_Gen,место,добираться,1,Дон
ОТКУДА,от_Gen,место,добираться,1,граница
ОТКУДА,с_Gen,место,добираться,1,берег
КУДА,в_Acc,пространство-объект,закладывать,2.1,принтер
КУДА,между_Ins,пространство-объект,закладывать,2.1,поленья
КУДА,под_Acc,пространство-объект,закладывать,2.1,подушка
ГДЕ,на_Loc,место в книге,закладывать,3,страница
ГДЕ,в_Loc,место в книге,закладывать,3,начало
КАК,в_Loc,средство искусства,воспроизводить,1.3,фильм
КАК,на_Loc,средство искусства,воспроизводить,1.3,фреска
