Verb,VerbMeaning,A1,A1Sem,A2,A2Sem,A3,A3Sem,A4,A4Sem,A5,A5Sem,Meaning
задерживать,1,NO_Nom,человек,NO_Acc,человек,на_Acc,время,-,-,-,-,"А1 задержал А2 на А3 ‘Человек А1, вступив в контакт с перемещавшимся или собиравшимся покинуть какое-то место человеком А2, сделал так, что А2 остался там, где он был, и находился в этом месте в течение времени А3’"
задерживать,2.1,NO_Nom,человек,NO_Acc,субстанция,ГДЕ,место,-,-,-,-,А1 задержал А2 в А3 ‘Человек А1 остановил или приостановил в месте А3 движение субстанции А2 или перемещение массы А2 людей’
задерживать,2.2,NO_Nom,объект-ситуация,NO_Acc,субстанция,ГДЕ,место-объект,-,-,-,-,"А1 задерживает А2 ‘Объект или ситуация А1 являются причиной того, что подвижная субстанция А2 перестает распространяться и остается в объекте или в месте А3’"
задерживать,3.1,NO_Nom,человек,NO_Acc,процесс-действие-событие,на_Acc,время,-,-,-,-,"А1 задержал А2 ‘Лицо А1 сделало что-то, из-за чего действие, процесс или событие А2 не начались в назначенное время или начались позже на время А3’"
задерживать,3.2,NO_Nom,ситуация,NO_Acc,процесс-мероприятие,-,-,-,-,-,-,"А1 задержал А2 ‘Ситуация А1 была причиной того, что мероприятие А2 не было осуществлено в назначенное время или процесс А2 стал развиваться медленнее’"
задерживать,4.1,NO_Nom,человек,NO_Acc,движение,-,-,-,-,-,-,А1 задержал А2 ‘Человек А1 стал медленнее делать А2’ [А2 обычно движение или перемещение].
задерживать,4.2,NO_Nom,человек,NO_Acc,взгляд-мысль-внимание,на_Loc,объект,на_Acc,время,-,-,"А1 задержал А2 на А3 на А4 ‘Человек А1 сделал так, что объект А3 его взгляда или мысли А2 в течение времени А4 не менялся’."
задерживать,5,NO_Nom,официальное лицо,NO_Acc,человек,за_Acc,незаконное действие,ГДЕ,место,на_Acc,время,"А1 задержал А2 за А3 в А4 на А5 ‘Официальное лицо А1, войдя в контакт с человеком А2 в месте А4, ограничило его свободу на время А5, считая, что А2 совершил незаконное действие А3’"
благодарить,1,NO_Nom,человек,NO_Acc,человек,за_Acc,нечто хорошее,-,-,-,-,"А1 благодарит А2 за А3 ‘Человек А1, желая показать человеку А2, что он ценит хорошее А3, которое А2 сделал для А1, выражает это в принятой для таких случаев словесной форме’."
воздерживаться,1,NO_Nom,человек,от_Gen,действие,-,-,-,-,-,-,"А1 воздержался от А2 ‘Человек А1 решил не совершать и не совершил действие А2, которое хотел совершить или которое было естественно совершить’."
воздерживаться,2,NO_Nom,человек,-,-,-,-,-,-,-,-,"‘Принимая участие в голосовании, человек А1 решил не выражать определенного мнения по обсуждаемому вопросу и не голосовал ни за, ни против’."
арендовать,1,NO_Nom,лицо,NO_Acc,собственность,у_Gen,лицо,за_Acc,сумма,на_Acc,время,"А1 арендовал А2 у А3 за А4 на А5 ‘Лицо А1 приобрело право на использование собственности А2 лица А3 в течение длительного времени А5, заплатив за это лицу А3 суммуА4’ [А2 обычно недвижимость или транспортное средство]."
воспроизводить,1.1,NO_Nom,человек,NO_Acc,объект-действие,-,-,-,-,-,-,"А1 воспроизвел А2 ‘Человек А1 создал объект, похожий на объект А2, или совершает действия, совпадающие с действиями А2 другого человека или объекта А2 или приводящие к похожему результату А2’ [по аналогии - о животных: Обезьяна воспроизводила жесты дрессировщика; Попугай воспроизвел звук будильника]."
воспроизводить,1.2,NO_Nom,объект-ситуация,NO_Acc,объект-ситуация,-,-,-,-,-,-,"‘Объект А1 создан так, что он похож на объект А2, или ситуация А1 осуществлена так, что она похожа на ситуацию А2’."
воспроизводить,1.3,NO_Nom,человек,NO_Acc,объект-явление,NO_Ins,средство,-,-,-,-,‘Человек А1 изобразил средствами А3 искусства объект или явление А2 или свойства А2 некоторого объекта или явления’.
воспроизводить,1.3,NO_Nom,человек,NO_Acc,объект-явление,КАК,средство,-,-,-,-,‘Человек А1 изобразил средствами А3 искусства объект или явление А2 или свойства А2 некоторого объекта или явления’.
воспроизводить,2,NO_Nom,устройство,NO_Acc,изображение-звук,-,-,-,-,-,-,"А1 воспроизводит А2 ‘В результате функционирования специального устройства А1 возникают изображение или звук А2, ранее созданные каким-л. человеком’"
воспроизводить,3,NO_Nom,человек,NO_Acc,ситуация,NO_Dat,человек,-,-,-,-,"А1 воспроизвел А2 для A3 ‘Человек А1 вспомнил ситуацию А2 и сделал так, что в сознании других людей А3 появился образ ситуации А2’"
воспроизводить,4.1,NO_Nom,существо,NO_Acc,существо,-,-,-,-,-,-,"А1 воспроизвел А2 ‘Существа А1 родили столько своих потомков А2, что количество существ А1 не уменьшилось’."
воспроизводить,4.2,NO_Nom,общественный институт,NO_Acc,ценность,-,-,-,-,-,-,"А1 воспроизвел А2 ‘Общественный институт А1 произвел не меньше ценностей А2, чем израсходовал в процессе деятельности’."
выливать,1,NO_Nom,человек,NO_Acc,жидкость,из_Gen,сосуд,КУДА,сосуд-место,-,-,"А1 вылил А2 из А3 в А4 ‘Человек А1, наклонив или перевернув сосуд А3 с находящейся в нем жидкостью А2, сделал так, что А2 вытекла из А3 и начала находиться в сосуде или в месте А4’."
выливать,1,NO_Nom,человек,-,-,NO_Acc,сосуд,КУДА,сосуд-место,-,-,"А1 вылил А2 из А3 в А4 ‘Человек А1, наклонив или перевернув сосуд А3 с находящейся в нем жидкостью А2, сделал так, что А2 вытекла из А3 и начала находиться в сосуде или в месте А4’."
выливать,2,NO_Nom,человек,NO_Acc,объект,из_Gen,субстанция,-,-,-,-,"А1 вылил А2 из А3 ‘Человек А1 создал объект А2 из субстанции А3, вылив расплавленную А3 в форму и охладив ее, так что она затвердела’."
вышивать,1,NO_Nom,человек,NO_Acc,объект,на_Loc,ткань-изделие,NO_Ins,нить,NO_Ins,инструмент,"А1 вышил А2 наА3 средством А4 с помощью А5 ‘Человек А1 с помощью инструмента А5 создал изображение А2 на ткани или тканевом изделии А3, сделав на А3 специальные стежки нитью А4 или пришив к А3 специально предназначенные для этого мелкие объекты А4’."
вышивать,1,NO_Nom,человек,NO_Acc,объект,по_Dat,ткань-изделие,NO_Ins,нить,NO_Ins,инструмент,"А1 вышил А2 наА3 средством А4 с помощью А5 ‘Человек А1 с помощью инструмента А5 создал изображение А2 на ткани или тканевом изделии А3, сделав на А3 специальные стежки нитью А4 или пришив к А3 специально предназначенные для этого мелкие объекты А4’."
вышивать,1,NO_Nom,человек,NO_Acc,объект,на_Loc,ткань-изделие,NO_Ins,нить,на_Loc,инструмент,"А1 вышил А2 наА3 средством А4 с помощью А5 ‘Человек А1 с помощью инструмента А5 создал изображение А2 на ткани или тканевом изделии А3, сделав на А3 специальные стежки нитью А4 или пришив к А3 специально предназначенные для этого мелкие объекты А4’."
вышивать,1,NO_Nom,человек,NO_Acc,объект,по_Dat,ткань-изделие,NO_Ins,нить,на_Loc,инструмент,"А1 вышил А2 наА3 средством А4 с помощью А5 ‘Человек А1 с помощью инструмента А5 создал изображение А2 на ткани или тканевом изделии А3, сделав на А3 специальные стежки нитью А4 или пришив к А3 специально предназначенные для этого мелкие объекты А4’."
вышивать,2,NO_Nom,человек,NO_Acc,изделие,NO_Ins,объект,NO_Ins,нить-мелкий объект,NO_Ins,инструмент,"А1 вышил А2 ‘Человек А1 украсил изделие А2 из ткани, вышив на нем с помощью инструмента А5 много изображений А3 из нити или мелких объектов А4’"
афишировать,1,NO_Nom,человек,NO_Acc,поступок-состояние-свойство-ситуация,перед_Ins,человек,-,-,-,-,"А1 афиширует А2 ‘Человек А1 старается сделать так, чтобы многие люди А3 знали о его поступке, состоянии или свойстве А2 или ситуации А2, участником которой он является’"
брить,1.1,NO_Nom,человек,NO_Acc,часть тела-поверхность тела,NO_Ins,инструмент,-,-,-,-,"А1 бреет А2 с помощью A3 ‘Водя по поверхности тела человека А2 или по части А2 тела человека специальным инструментом А3, человек А1 срезает у основания растущие на ней волосы, так что кожа становится гладкой’"
брить,1.2,NO_Nom,человек,NO_Acc,часть тела,у_Gen,работник,-,-,-,-,"А1 бреет А2 у A3 ‘Человек А1 делает так, что работник А3 в специальном учреждении или работник специального учреждения А3 бреет ему часть тела А2’."
брить,1.2,NO_Nom,человек,NO_Acc,часть тела,в_Loc,учреждение,-,-,-,-,"А1 бреет А2 у A3 ‘Человек А1 делает так, что работник А3 в специальном учреждении или работник специального учреждения А3 бреет ему часть тела А2’."
брить,2,NO_Nom,самолет,-,-,-,-,-,-,-,-,‘Лететь на предельно малой высоте’ [о самолете]
громыхать,1,NO_Nom,существо-объект,NO_Ins,предмет,-,-,-,-,-,-,"А1 громыхает предметом А2 ‘Существо или объект А1 перемещается, отчего предмет А2, который он держит или который находится на нем, соприкасаясь с другими предметами, издает громкий глухой неприятный звук, похожий на звук сталкивающихся друг с другом тяжелых камней’."
громыхать,2,NO_Nom,предмет,-,-,-,-,-,-,-,-,"А1 громыхает ‘Предмет А1 от соприкосновения с другими предметами издает громкий глухой неприятный звук, похожий на звук сталкивающихся друг с другом тяжелых камней, или части предмета А1 издают такой звук от соприкосновения друг с другом, или явление А1 сопровождается таким звуком’"
