Verb,Model,ModelSize,Indices,Examples,Size,Coverage,VerbMeaning
воскресать,NO_Nom,0.398,"-  ","-  ",574,0.0,
воскресать,NO_Nom,0.398,"37  ","сознание,разум  ",114,0.12962962962962962,3
воскресать,в_Acc,0.03,"14  ","день,время  ",72,0.08695652173913045,
воскресать,после_Gen,0.035,"351  ","смерть,гибель  ",70,0.5,
воскресать,NO_Nom,0.398,"6  ","удовольствие,радость  ",52,0.037914691943127965,3
воскресать,на_Acc,0.019,"14  ","день,время  ",47,0.036231884057971016,
воскресать,NO_Nom,0.398,"12  ","отец,брат  ",46,0.07389162561576354,1  2.1
воскресать,из_Gen,0.042,"-  ","-  ",38,0.0,
воскресать,NO_Nom,0.398,"8  ","человек,женщина  ",37,0.08108108108108109,1  2.1
воскресать,NO_Ins,0.038,"141  ","способ,метод  ",33,0.10526315789473684,
воскресать,в_Loc,0.072,"4  ","нога,рука  ",33,0.0196078431372549,
воскресать,из_Gen,0.042,"7  ","луч,свет  ",32,0.03401360544217687,
воскресать,к_Dat,0.012,"3  ","страна,регион  ",29,0.010638297872340425,
воскресать,из_Gen,0.042,"237  ","пыль,грязь  ",24,0.23076923076923078,2.2
воскресать,в_Loc,0.072,"3  ","страна,регион  ",23,0.0425531914893617,
воскресать,в_Loc,0.072,"-  ","-  ",21,0.0,
воскресать,NO_Nom,0.398,"39  ","фильм,картина  ",19,0.10112359550561797,
воскресать,для_Gen,0.013,"3  ","страна,регион  ",18,0.010638297872340425,
воскресать,NO_Nom  в_Acc,0.01,"-  14  ","-  день,время  ",16,0.014492753623188406,
воскресать,в_Loc,0.072,"238  ","мысль,воспоминание  ",15,0.15384615384615385,
воскресать,NO_Nom,0.398,"1  ","животное,собака  ",15,0.05472636815920397,1  2.1
воскресать,на_Acc  NO_Nom,0.011,"14  -  ","день,время  -  ",15,0.0036231884057971015,
воскресать,NO_Ins,0.038,"149  ","стих,стихотворение  ",14,0.05555555555555555,
воскресать,NO_Nom,0.398,"346  ","душа,сердце  ",14,0.25,3
воскресать,NO_Acc,0.013,"14  ","день,время  ",14,0.05797101449275362,
воскресать,NO_Ins,0.038,"14  ","день,время  ",14,0.05072463768115942,
воскресать,с_Ins,0.011,"-  ","-  ",13,0.0,
воскресать,NO_Nom,0.398,"13  ","генерал,полковник  ",13,0.043478260869565216,1  2.1
воскресать,NO_Nom  из_Gen,0.018,"-  237  ","-  пыль,грязь  ",12,0.038461538461538464,2.2
воскресать,NO_Acc,0.013,"-  ","-  ",12,0.0,
воскресать,в_Loc,0.072,"346  ","душа,сердце  ",12,0.375,
воскресать,в_Loc  NO_Nom,0.073,"238  14  ","мысль,воспоминание  день,время  ",12,0.11315496098104794,
воскресать,NO_Nom,0.398,"3  ","страна,регион  ",12,0.03723404255319149,
воскресать,в_Loc,0.072,"14  ","день,время  ",12,0.036231884057971016,
воскресать,NO_Nom,0.398,"324  ","святой,апостол  ",11,0.2222222222222222,1
воскресать,NO_Nom,0.398,"202  ","труп,останки  ",11,0.26666666666666666,1
воскресать,NO_Nom,0.398,"238  ","мысль,воспоминание  ",11,0.23076923076923078,3
воскресать,NO_Ins  NO_Nom,0.013,"6  -  ","удовольствие,радость  -  ",10,0.002369668246445498,
воскресать,NO_Nom,0.398,"81  ","стремление,желание  ",9,0.0967741935483871,3
воскресать,NO_Ins,0.038,"346  ","душа,сердце  ",9,0.25,
воскресать,для_Gen,0.013,"212  ","ответ,объяснение  ",9,0.06666666666666667,
воскресать,NO_Nom,0.398,"60  ","ученик,студент  ",9,0.05555555555555555,1  2.1
воскресать,в_Loc,0.072,"253  ","вид,форма  ",9,0.16666666666666666,
воскресать,NO_Ins  NO_Nom,0.013,"141  -  ","способ,метод  -  ",9,0.02631578947368421,
воскресать,NO_Nom,0.398,"4  ","нога,рука  ",9,0.00980392156862745,
воскресать,NO_Nom,0.398,"14  ","день,время  ",9,0.05797101449275362,
воскресать,NO_Nom,0.398,"148  ","враг,противник  ",8,0.10526315789473684,1  2.1
воскресать,NO_Nom,0.398,"51  ","гном,эльф  ",8,0.08888888888888889,1  2.1
воскресать,NO_Nom,0.398,"141  ","способ,метод  ",8,0.10526315789473684,
воскресать,в_Loc  NO_Nom,0.073,"167  672  ","физика,математика  уловка,хитрость  ",8,0.19607843137254902,
воскресать,NO_Ins,0.038,"8  ","человек,женщина  ",8,0.018018018018018018,
воскресать,NO_Nom  NO_Nom,0.009,"8  37  ","человек,женщина  сознание,разум  ",7,0.013763763763763762,
воскресать,NO_Nom,0.398,"40  ","представитель,руководитель  ",7,0.0223463687150838,
воскресать,NO_Ins,0.038,"-  ","-  ",7,0.0,
воскресать,в_Loc  NO_Nom,0.073,"238  39  ","мысль,воспоминание  фильм,картина  ",7,0.0881590319792567,
воскресать,в_Loc  NO_Nom,0.073,"346  6  ","душа,сердце  удовольствие,радость  ",7,0.1368483412322275,
воскресать,NO_Nom,0.398,"20  ","император,царь  ",7,0.039473684210526314,1  2.1
воскресать,NO_Nom,0.398,"2  ","русский,немец  ",7,0.028436018957345974,1  2.1
воскресать,NO_Nom,0.398,"7  ","луч,свет  ",7,0.027210884353741496,
воскресать,в_Loc  NO_Nom,0.073,"-  -  ","-  -  ",7,0.0,
воскресать,в_Loc  NO_Nom,0.073,"238  238  ","мысль,воспоминание  мысль,воспоминание  ",6,0.07692307692307693,
воскресать,в_Loc  NO_Nom,0.073,"238  195  ","мысль,воспоминание  инцидент,событие  ",6,0.07179487179487179,
воскресать,NO_Nom,0.398,"550  ","угроза,опасность  ",6,0.25,3
воскресать,NO_Nom  из_Gen,0.018,"-  -  ","-  -  ",6,0.0,
воскресать,NO_Nom,0.398,"174  ","сущность,смысл  ",6,0.1764705882352941,3
воскресать,в_Loc,0.072,"141  ","способ,метод  ",6,0.05263157894736842,
воскресать,NO_Nom,0.398,"47  ","старец,монах  ",6,0.058823529411764705,1  2.1
воскресать,после_Gen  на_Loc  на_Nom,0.002,"73  181  89  ","журнал,газета  сайт,страница  данные,информация  ",6,0.029894068539759372,
воскресать,от_Gen,0.007,"6  ","удовольствие,радость  ",6,0.023696682464454978,
воскресать,на_Loc,0.011,"21  ","гора,холм  ",6,0.019138755980861243,
воскресать,на_Loc,0.011,"14  ","день,время  ",6,0.028985507246376812,
воскресать,через_Acc,0.002,"14  ","день,время  ",6,0.021739130434782608,
воскресать,на_Acc  NO_Nom,0.011,"14  37  ","день,время  сознание,разум  ",6,0.03140096618357488,
воскресать,после_Gen,0.035,"18  ","война,бой  ",5,0.020833333333333332,
воскресать,в_Acc,0.03,"-  ","-  ",5,0.0,
воскресать,в_Acc,0.03,"212  ","ответ,объяснение  ",5,0.13333333333333333,
воскресать,NO_Nom  NO_Nom,0.009,"-  -  ","-  -  ",5,0.0,
